"","Plot","Herbivory","Coral_Id","Coral","percent_bleached","percent_dead","Date","Nutrients","catcat"
"167","B3","open","A1","Acr",0,0,"Nov18","Nutrient","Nov18_A1"
"168","B3","open","P10","Pver",0,0,"Nov18","Nutrient","Nov18_P10"
"169","B3","open","P21","Pver",0,0,"Nov18","Nutrient","Nov18_P21"
"170","B3","open","P28","Pver",0,0,"Nov18","Nutrient","Nov18_P28"
"171","B3","open","P5","Pver",0,0,"Nov18","Nutrient","Nov18_P5"
"172","B4","1x1","P11","Pver",0,0,"Nov18","Ambient","Nov18_P11"
"173","B4","1x1","P25","Pver",0,0,"Nov18","Ambient","Nov18_P25"
"174","B4","2x2","A2","Acr",0,0,"Nov18","Ambient","Nov18_A2"
"175","B4","2x2","A4","Acr",0,0,"Nov18","Ambient","Nov18_A4"
"176","B4","2x2","P7","Pver",0,0,"Nov18","Ambient","Nov18_P7"
"177","B4","3x3","A3","Acr",0,0,"Nov18","Ambient","Nov18_A3"
"178","B4","3x3","A7","Acr",0,0,"Nov18","Ambient","Nov18_A7"
"179","B4","3x3","P14","Pver",0,0,"Nov18","Ambient","Nov18_P14"
"180","B4","3x3","P2","Pver",0,0,"Nov18","Ambient","Nov18_P2"
"181","B4","3x3","P6","Pver",0,0,"Nov18","Ambient","Nov18_P6"
"182","B4","open","P13","Pver",0,0,"Nov18","Ambient","Nov18_P13"
"183","B4","open","P5","Pver",0,0,"Nov18","Ambient","Nov18_P5"
"184","C1","1x1","P20","Pver",0,0,"Nov18","Ambient","Nov18_P20"
"185","C1","1x1","P4","Pver",0,0,"Nov18","Ambient","Nov18_P4"
"186","C1","1x1","P5","Pver",0,5,"Nov18","Ambient","Nov18_P5"
"187","C1","2x2","A1","Acr",0,0,"Nov18","Ambient","Nov18_A1"
"188","C1","2x2","A4","Acr",0,0,"Nov18","Ambient","Nov18_A4"
"189","C1","2x2","P15","Pver",0,0,"Nov18","Ambient","Nov18_P15"
"190","C1","2x2","P16","Pver",0,0,"Nov18","Ambient","Nov18_P16"
"191","C1","2x2","P18","Pver",0,0,"Nov18","Ambient","Nov18_P18"
"192","C1","2x2","P3","Pver",0,0,"Nov18","Ambient","Nov18_P3"
"193","C1","3x3","A1","Acr",0,0,"Nov18","Ambient","Nov18_A1"
"194","C1","3x3","P13","Pver",0,0,"Nov18","Ambient","Nov18_P13"
