Plot,Herbivory,Coral_Id,Coral,percent_bleached,percent_dead,Date,Nutrients,catcat
C3,2x2,A1,Acr,2,0, Mar19,Nutrient,Mar19_A1
C3,2x2,A3/Aret73,Acr,0,0, Mar19,Nutrient,Mar19_A3/Aret73
C3,2x2,A4/Aret275,Acr,0,0, Mar19,Nutrient,Mar19_A4/Aret275
C3,2x2,P17,Pver,0,0, Mar19,Nutrient,Mar19_P17
C3,2x2,P22,Pver,0,0, Mar19,Nutrient,Mar19_P22
C3,2x2,P23,Pver,0,10, Mar19,Nutrient,Mar19_P23
C3,3x3,A1/Aret97,Acr,0,0, Mar19,Nutrient,Mar19_A1/Aret97
C3,3x3,P15,Pver,0,0, Mar19,Nutrient,Mar19_P15
C3,3x3,P19,Pver,0,5, Mar19,Nutrient,Mar19_P19
C3,3x3,P24,Pver,0,0, Mar19,Nutrient,Mar19_P24
C3,3x3,P3,Pver,0,0, Mar19,Nutrient,Mar19_P3
C3,open,A1,Acr,0,90, Mar19,Nutrient,Mar19_A1
C3,open,A6,Acr,0,0, Mar19,Nutrient,Mar19_A6
C3,open,P11,Pver,2,0, Mar19,Nutrient,Mar19_P11
C3,open,P12,Pver,0,0, Mar19,Nutrient,Mar19_P12
C3,open,P13,Pver,10,0, Mar19,Nutrient,Mar19_P13
C3,open,P15,Pver,5,0, Mar19,Nutrient,Mar19_P15
D2,1x1,A1,Acr,60,0, Mar19,Ambient,Mar19_A1
D2,1x1,A5,Acr,80,0, Mar19,Ambient,Mar19_A5
D2,1x1,A7,Acr,0,0, Mar19,Ambient,Mar19_A7
D2,1x1,P15,Pver,0,5, Mar19,Ambient,Mar19_P15
D2,1x1,P17,Pver,0,0, Mar19,Ambient,Mar19_P17
D2,1x1,P2,Pver,0,0, Mar19,Ambient,Mar19_P2
D2,2x2,A6,Acr,0,0, Mar19,Ambient,Mar19_A6
D2,2x2,A7,Acr,80,0, Mar19,Ambient,Mar19_A7
D2,2x2,P2,Pver,0,0, Mar19,Ambient,Mar19_P2
D2,2x2,P21,Pver,0,0, Mar19,Ambient,Mar19_P21
D2,2x2,P7,Pver,0,2, Mar19,Ambient,Mar19_P7
D2,3x3,A1,Acr,40,0, Mar19,Ambient,Mar19_A1
D2,3x3,P22,Pver,0,0, Mar19,Ambient,Mar19_P22
D2,3x3,P5,Pver,0,0, Mar19,Ambient,Mar19_P5
